ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS_distal
 LocalEnergy_H1_1000	-3.9	0	5.8	0.9393939393939393
 LocalEnergy_H1_1002	-6.6	0	5.4	0.8545454545454546
 LocalEnergy_H1_1006	-8.35	0	5.7	0.9666666666666668
 LocalEnergy_H1_1009	-6.1	0	4.9	0.9939393939393939
 LocalEnergy_H1_1011	-10.8	0	4.4	0.9636363636363636
 LocalEnergy_H1_1013	-11.8	0	8.2	1.0
 LocalEnergy_H1_1018	-7.35	0	6.0	0.9272727272727272
 LocalEnergy_H1_1019	-16.17	0	4.5	0.8954545454545454
 LocalEnergy_H1_1022	-6.4	0	5.4	0.9818181818181819
 LocalEnergy_H1_1023	-9.0	0	6.9	0.9848484848484849
 LocalEnergy_H1_1025	-16.55	0	7.7	0.9848484848484849
 LocalEnergy_H1_1028	-12.4	0	7.7	0.9696969696969696
 LocalEnergy_H1_102	-7.65	0	4.3	0.9515151515151514
 LocalEnergy_H1_1032	-8.7	0	5.1	0.996969696969697
 LocalEnergy_H1_1033	-14.3	0	7.8	0.9575757575757575
 LocalEnergy_H1_1034	-12.4	0	5.1	0.9848484848484849
 LocalEnergy_H1_1036	-16.6	0	3.9	0.9212121212121211
 LocalEnergy_H1_1037	-5.95	0	4.6	0.9787878787878788
 LocalEnergy_H1_1039	-6.9	0	4.9	0.9666666666666667
 LocalEnergy_H1_1040	-10.75	0	5.4	0.9272727272727272
 LocalEnergy_H1_1042	-10.85	0	5.4	0.9848484848484849
 LocalEnergy_H1_1045	-13.25	0	6.9	0.9742424242424242
 LocalEnergy_H1_1046	-10.55	0	5.4	0.9727272727272728
 LocalEnergy_H1_1047	-6.85	0	5.4	0.990909090909091
 LocalEnergy_H1_104	-12.5	0	5.4	0.9787878787878789
 LocalEnergy_H1_1055	-14.6	0	4.0	0.959090909090909
 LocalEnergy_H1_1057	-14.05	0	5.3	0.990909090909091
 LocalEnergy_H1_1060	-17.1	0	4.7	0.9030303030303031
 LocalEnergy_H1_1064	-4.6	0	5.4	0.8848484848484849
 LocalEnergy_H1_1067	-13.85	0	5.3	0.9606060606060607
 LocalEnergy_H1_106	-10.25	0	7.7	0.9727272727272728
 LocalEnergy_H1_1072	-14.6	0	4.2	0.9848484848484849
 LocalEnergy_H1_1073	-11.1	0	5.3	0.996969696969697
 LocalEnergy_H1_1075	-14.27	0	4.6	0.9696969696969696
 LocalEnergy_H1_1076	-12.2	0	4.4	0.9696969696969697
 LocalEnergy_H1_1079	-13.1	0	4.9	0.9878787878787879
 LocalEnergy_H1_1084	-5.4	0	4.8	0.9090909090909091
 LocalEnergy_H1_1085	-12.2	0	4.8	0.990909090909091
 LocalEnergy_H1_1086	-6.2	0	5.4	1.0
 LocalEnergy_H1_1087	-8.35	0	4.5	0.996969696969697
 LocalEnergy_H1_1088	-19.4	0	5.0	0.9666666666666667
 LocalEnergy_H1_1089	-14.65	0	4.6	0.9666666666666667
 LocalEnergy_H1_1090	-3.5	0	5.7	0.9515151515151516
 LocalEnergy_H1_1092	-8.07	0	5.5	0.9575757575757575
